gameId,mode,rounds,turnsTaken,gini,herfindahl,treasuryFlowRate,treasuryFinal,netWorth_Extractive,netWorth_Generative,netWorth_Conditional,netWorth_FreeRider,netWorth_Pavlov,cash_Extractive,cash_Generative,cash_Conditional,cash_FreeRider,cash_Pavlov,jail_Extractive,jail_Generative,jail_Conditional,jail_FreeRider,jail_Pavlov,buys_Extractive,buys_Generative,buys_Conditional,buys_FreeRider,buys_Pavlov,builds_Extractive,builds_Generative,builds_Conditional,builds_FreeRider,builds_Pavlov,liquidations,proposals,proposalsPassed,winner
2,Prosperity,10,52,0.0173,0.3400,5.40,54,1131,1099,1089,1126,1031,1131,329,269,1126,201,0,0,0,0,0,5,3,3,0,0,8,7,0,0,0,0,0,0,0xae42d435907C78C1a9ccc9508ee9af76A301D716
4,Prosperity,12,64,0.0352,0.3373,7.83,94,1370,1376,1269,1142,1309,190,476,39,1142,1309,0,0,0,0,0,4,4,5,0,0,15,12,0,0,0,0,0,0,0x2F5127d166C77eA01941cF14C7b7F0221BBaFf33
6,Monopolist,10,54,0.0360,0.3136,0.30,3,1218,1243,1204,1018,1144,238,243,854,1018,644,0,0,0,0,0,3,2,6,0,2,10,0,0,0,0,0,0,0,0x2F5127d166C77eA01941cF14C7b7F0221BBaFf33
8,Monopolist,12,60,0.0311,0.3800,0.17,2,1257,1092,1281,1307,1231,1257,1092,361,577,681,0,0,0,0,0,2,3,7,0,0,4,9,0,0,0,0,0,0,0x85e33926d447c2696A7779Fa67f226d6EaF5b1d5
10,Monopolist,8,44,0.0269,0.3889,0.13,1,1087,1172,1188,1040,1172,587,202,1188,1040,232,0,0,0,0,0,4,2,6,0,0,6,1,0,0,0,0,0,0,0xae42d435907C78C1a9ccc9508ee9af76A301D716
12,Monopolist,12,61,0.0547,0.3580,0.08,1,1326,1006,1316,1283,1128,1326,346,516,1283,228,0,0,0,0,0,3,3,4,0,0,8,8,0,0,0,0,0,0,0xae42d435907C78C1a9ccc9508ee9af76A301D716
14,Prosperity,12,62,0.0375,0.3719,0.17,2,1146,1191,1040,1151,1290,476,1191,1040,471,270,0,0,0,0,0,4,2,5,0,0,10,8,0,0,0,0,0,0,0x1bF0762288A5e4FD67fD2B0B08321865C8a47a83
16,Monopolist,11,59,0.0370,0.3472,31.64,348,1095,1091,1229,1168,1009,1095,11,1229,388,129,0,0,0,0,0,4,3,5,0,0,11,8,0,0,0,0,0,0,0xae42d435907C78C1a9ccc9508ee9af76A301D716
18,Monopolist,13,65,0.0469,0.2917,25.54,332,1319,1084,1323,1201,1091,1319,934,253,491,381,0,0,0,0,0,4,3,5,0,1,13,4,0,0,1,0,0,0,0x1bF0762288A5e4FD67fD2B0B08321865C8a47a83
20,Monopolist,11,59,0.0506,0.3472,4.36,48,1292,1127,1322,1028,1183,542,977,1322,328,193,0,0,0,0,0,3,3,6,0,1,12,8,0,0,1,0,0,0,0xA5CE87AB26BeeB961d84C80CAF75384eBdff852C
22,Monopolist,11,57,0.0351,0.3800,27.18,299,1071,1189,1007,1187,1067,1071,1189,237,337,327,0,0,0,0,0,4,2,5,0,0,11,8,0,0,0,0,0,0,0xA5CE87AB26BeeB961d84C80CAF75384eBdff852C
24,Monopolist,12,64,0.0381,0.3400,11.83,142,1182,1252,1032,1120,1082,272,282,1032,1120,502,0,0,0,0,1,3,3,4,0,0,11,11,0,0,0,0,0,0,0x1bF0762288A5e4FD67fD2B0B08321865C8a47a83
26,Prosperity,7,39,0.0073,0.2727,34.71,243,1034,1056,1034,1009,1034,514,1056,674,79,334,0,0,0,0,0,4,3,2,0,2,5,5,0,0,2,0,0,0,0xA5CE87AB26BeeB961d84C80CAF75384eBdff852C
28,Prosperity,8,42,0.0066,0.2727,0.25,2,1074,1038,1074,1064,1058,624,1038,564,124,398,0,0,0,0,0,3,2,4,0,2,10,6,0,0,1,0,0,0,0xae42d435907C78C1a9ccc9508ee9af76A301D716
30,Prosperity,9,49,0.0458,0.2562,0.22,2,1072,1151,1308,1211,1046,452,121,708,721,1046,0,0,0,0,0,3,2,3,0,3,11,4,0,0,2,0,0,0,0xae42d435907C78C1a9ccc9508ee9af76A301D716